"","Meta.Data.datapoints","Meta.Data.interval","Meta.Data.ticker","Meta.Data.credit.cost","Meta.Data.Time.Zone","Meta.Data.last.refreshed","Crypto.Historical.Price.date","Crypto.Historical.Price.open","Crypto.Historical.Price.high","Crypto.Historical.Price.low","Crypto.Historical.Price.close","Crypto.Historical.Price.adj_close","Crypto.Historical.Price.volume"
"1",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-04-09",5201.3,5460.94,5178.61,5314.39,5314.39,346200633
"2",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-04-08",5294.09,5294.09,5159.13,5201.3,5201.3,253577595
"3",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-04-07",5201.16,5347.88,5141.23,5293.26,5293.26,363137927
"4",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-04-06",5057.25,5266.04,5044.28,5201.16,5201.16,243329883
"5",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-04-05",5047.23,5240.19,4938,5057.25,5057.25,275839574
"6",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-04-04",4913.36,5074.13,4897.61,5047.23,5047.23,280722247
"7",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-04-03",4992.61,5029.13,4992.61,5029.13,5029.13,0
"8",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-04-02",4906.93,5335.7,4831.59,4992.61,4992.61,802799826
"9",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-04-01",4151.32,5104.42,4147.7,4938.53,4938.53,804055774
"10",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-31",4112.69,4164.33,4082.2,4151.32,4151.32,152826759
"11",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-30",4111.38,4146.88,4066.87,4118.13,4118.13,102400534
"12",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-29",4036.45,4122.89,4031.22,4111.38,4111.38,170915133
"13",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-28",4045.98,4046.44,4014.69,4036.45,4036.45,102296341
"14",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-27",3942.22,4054.32,3932.79,4045.98,4045.98,149005782
"15",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-26",3924.55,3943.2,3902.52,3942.22,3942.22,93805733
"16",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-25",3994.11,4005.29,3887.68,3924.55,3924.55,136398998
"17",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-24",4007.21,4010.3,3970.35,3994.11,3994.11,64375076
"18",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-23",4000.84,4019.36,3982.47,4007.21,4007.21,74094017
"19",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-22",3996.93,4018.21,3984,4000.84,4000.84,90726555
"20",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-21",4056.75,4082.29,3953.53,3996.93,3996.93,178077036
"21",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-20",4024.14,4064.95,3995.49,4056.75,4056.75,148490744
"22",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-19",3988.85,4032.04,3972.47,4024.14,4024.14,118919147
"23",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-18",3998,4038.99,3964.31,3988.85,3988.85,109428478
"24",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-17",4027.01,4030.38,3970.97,3998,3998,68146133
"25",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-16",3927.08,4069.11,3924.98,4027.01,4027.01,166216280
"26",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-15",3881.44,3935.1,3876.17,3927.08,3927.08,125588541
"27",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-14",3878.44,3922.21,3825.03,3881.44,3881.44,133931876
"28",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-13",3888.57,3898.25,3853.06,3878.44,3878.44,108286926
"29",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-12",3874.89,3904.7,3827.23,3888.57,3888.57,130291591
"30",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-11",3929.84,3941.99,3849.45,3874.89,3874.89,126998648
"31",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-10",3947.74,3948.21,3897.82,3929.84,3929.84,68252920
"32",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-09",3868.02,3975.25,3860.66,3947.74,3947.74,108370246
"33",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-08",3882.61,3932.02,3804.98,3868.02,3868.02,153405087
"34",365,"1 day(s)","BTC",36500,"America/New_York","05/09/2019 at 08:29PM ET","2019-03-07",3874.98,3911.76,3853.2,3882.61,3882.61,146201726
